Risk.group,Strategy,number,risk,screen_detect,cost,advcancer_screen,advcancer_interval
58,2,1,0.01986839432810659,0.6726493254150105,2,0.22,0.53
59,2,1,0.020059113494676695,0.6726493254150105,2,0.22,0.53
60,2,1,0.020279486826322208,0.6726493254150105,2,0.22,0.53
61,2,1,0.02050891167736228,0.6726493254150105,2,0.22,0.53
62,2,1,0.020724857185920646,0.6726493254150105,2,0.22,0.53
63,2,1,0.02096332308527264,0.6726493254150105,2,0.22,0.53
64,2,1,0.02114996852485544,0.6726493254150105,2,0.22,0.53
65,2,1,0.021369874102948667,0.6726493254150105,2,0.22,0.53
66,2,1,0.02163165821306489,0.6726493254150105,2,0.22,0.53
67,2,1,0.021842865144496442,0.6726493254150105,2,0.22,0.53
68,2,1,0.022116230029199713,0.6726493254150105,2,0.22,0.53
69,2,1,0.02235848215798663,0.6726493254150105,2,0.22,0.53
70,2,1,0.022555987859548883,0.6726493254150105,2,0.22,0.53
71,2,1,0.022823380475555783,0.6726493254150105,2,0.22,0.53
72,2,1,0.02315926395809639,0.6726493254150105,2,0.22,0.53
73,2,1,0.02355648270031775,0.6726493254150105,2,0.22,0.53
74,2,1,0.02386088411138774,0.6726493254150105,2,0.22,0.53
75,2,1,0.02413005245821738,0.6726493254150105,2,0.22,0.53
76,2,1,0.02436959053728639,0.6726493254150105,2,0.22,0.53
77,2,1,0.024745711106166638,0.6726493254150105,2,0.22,0.53
78,2,1,0.025059938595464234,0.6726493254150105,2,0.22,0.53
79,2,1,0.025424972892843057,0.6726493254150105,2,0.22,0.53
80,2,1,0.02588781624365669,0.6726493254150105,2,0.22,0.53
81,2,1,0.026234990952997195,0.6726493254150105,2,0.22,0.53
82,2,1,0.02663272091053616,0.6726493254150105,2,0.22,0.53
83,2,1,0.02699531989206474,0.6726493254150105,2,0.22,0.53
84,2,1,0.02733566578255881,0.6726493254150105,2,0.22,0.53
85,2,1,0.027731885006265288,0.6726493254150105,2,0.22,0.53
86,2,1,0.028199643483253604,0.6726493254150105,2,0.22,0.53
87,2,1,0.02887371480216121,0.6726493254150105,2,0.22,0.53
88,2,1,0.02948518723556295,0.6726493254150105,2,0.22,0.53
89,2,1,0.030042699902586924,0.6726493254150105,2,0.22,0.53
90,2,1,0.030703720484952228,0.6726493254150105,2,0.22,0.53
91,2,1,0.03137951598388804,0.6726493254150105,2,0.22,0.53
92,2,1,0.03251775678070284,0.6726493254150105,2,0.22,0.53
93,2,1,0.03450759842605118,0.6726493254150105,2,0.22,0.53
94,2,1,0.036368940129076446,0.6726493254150105,2,0.22,0.53
95,2,1,0.039617964658822946,0.6726493254150105,2,0.22,0.53
96,2,1,0.046184572414022525,0.6726493254150105,2,0.22,0.53
97,2,1,0.05793726276339735,0.6726493254150105,2,0.22,0.53
98,2,1,0.07756780552454554,0.6726493254150105,2,0.22,0.53
